,bike_name,price,kms_driven,owner,age,power,brand
11363,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,8.0,200.0,Bajaj
11364,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,7.0,220.0,Bajaj
11365,Hero Hunk Rear,25000.0,48587.0,First Owner,8.0,150.0,Hero
11366,Bajaj Avenger Street,70000.0,8000.0,First Owner,5.0,220.0,Bajaj
11367,Honda CB Hornet,87000.0,140.0,First Owner,3.0,160.0,Honda
11368,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,15.0,150.0,Bajaj
11369,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,12.0,150.0,Yamaha
11370,Hero CD Deluxe,18000.0,22824.0,First Owner,8.0,100.0,Hero
11371,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,15.0,150.0,Bajaj
11372,Bajaj Avenger 220cc,35000.0,60000.0,First Owner,9.0,220.0,Bajaj
11373,Bajaj Avenger Street,80000.0,7127.0,First Owner,5.0,220.0,Bajaj
11374,Yamaha FZ 150cc,45000.0,18742.0,First Owner,6.0,150.0,Yamaha
11375,Honda CB Trigger,43000.0,42837.0,First Owner,8.0,150.0,Honda
11376,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,9.0,150.0,Yamaha
11377,Hero CBZ Xtreme,11900.0,34968.0,First Owner,14.0,150.0,Hero
11378,Hero Passion 100cc,18000.0,3869.0,First Owner,16.0,100.0,Hero
11379,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,8.0,200.0,Bajaj
11380,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,7.0,220.0,Bajaj
11381,Hero Hunk Rear,25000.0,48587.0,First Owner,8.0,150.0,Hero
11382,Bajaj Avenger Street,70000.0,8000.0,First Owner,5.0,220.0,Bajaj
11383,Honda CB Hornet,87000.0,140.0,First Owner,3.0,160.0,Honda
11384,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,15.0,150.0,Bajaj
11385,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,12.0,150.0,Yamaha
11386,Hero CD Deluxe,18000.0,22824.0,First Owner,8.0,100.0,Hero
11387,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,15.0,150.0,Bajaj
11388,Bajaj Avenger 220cc,35000.0,60000.0,First Owner,9.0,220.0,Bajaj
11389,Bajaj Avenger Street,80000.0,7127.0,First Owner,5.0,220.0,Bajaj
11390,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11391,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11392,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11393,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11394,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11395,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11396,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11397,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11398,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11399,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11400,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11401,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
11402,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11403,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11404,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11405,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11406,Yamaha FZ 150cc,45000.0,18742.0,First Owner,6.0,150.0,Yamaha
11407,Honda CB Trigger,43000.0,42837.0,First Owner,8.0,150.0,Honda
11408,Yamaha YZF-R15 2.0,55000.0,27000.0,First Owner,9.0,150.0,Yamaha
11409,Hero CBZ Xtreme,11900.0,34968.0,First Owner,14.0,150.0,Hero
11410,Hero Passion 100cc,18000.0,3869.0,First Owner,16.0,100.0,Hero
11411,Bajaj Pulsar NS200,48000.0,41939.0,First Owner,8.0,200.0,Bajaj
11412,Bajaj Avenger 220cc,50000.0,29134.0,First Owner,7.0,220.0,Bajaj
11413,Hero Hunk Rear,25000.0,48587.0,First Owner,8.0,150.0,Hero
11414,Bajaj Avenger Street,70000.0,8000.0,First Owner,5.0,220.0,Bajaj
11415,Honda CB Hornet,87000.0,140.0,First Owner,3.0,160.0,Honda
11416,Bajaj Pulsar 150cc,10000.0,64955.0,First Owner,15.0,150.0,Bajaj
11417,Yamaha Fazer 150cc,25000.0,65000.0,First Owner,12.0,150.0,Yamaha
11418,Hero CD Deluxe,18000.0,22824.0,First Owner,8.0,100.0,Hero
11419,Bajaj Pulsar 150cc,14227.0,36000.0,First Owner,15.0,150.0,Bajaj
11420,Bajaj Avenger 220cc,35000.0,60000.0,First Owner,9.0,220.0,Bajaj
11421,Bajaj Avenger Street,80000.0,7127.0,First Owner,5.0,220.0,Bajaj
11422,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11423,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11424,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11425,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11426,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11427,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11428,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11429,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11430,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11431,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11432,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11433,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
